"Code","State","Sector","Obs","Employment","Members","Covered","PctMem","PctCov","Year"
21,"New York","Priv. Construction",377,244768,117671,121643,48.1,49.7,1983
21,"New York","Priv. Manufacturing",2046,1319608,409074,442860,31,33.6,1983
56,"North Carolina","Private",2790,1912982,102359,123498,5.4,6.5,1983
56,"North Carolina","Public",610,425896,76297,114619,17.9,26.9,1983
56,"North Carolina","Priv. Construction",129,89945,1976,1976,2.2,2.2,1983
56,"North Carolina","Priv. Manufacturing",1171,802993,55297,64655,6.9,8.1,1983
44,"North Dakota","Private",1570,166106,15772,18298,9.5,11,1983
44,"North Dakota","Public",477,49270,12633,16822,25.6,34.1,1983
44,"North Dakota","Priv. Construction",102,11164,3600,3678,32.2,32.9,1983
44,"North Dakota","Priv. Manufacturing",120,12172,3330,3516,27.4,28.9,1983
31,"Ohio","Private",5674,3415924,768806,829811,22.5,24.3,1983
31,"Ohio","Public",1038,616424,242239,295204,39.3,47.9,1983
31,"Ohio","Priv. Construction",230,140515,45793,49201,32.6,35,1983
31,"Ohio","Priv. Manufacturing",1893,1130684,461915,486164,40.9,43,1983
73,"Oklahoma","Private",1981,928575,84521,99681,9.1,10.7,1983
73,"Oklahoma","Public",462,215364,47018,68523,21.8,31.8,1983
73,"Oklahoma","Priv. Construction",119,55818,9816,10104,17.6,18.1,1983
73,"Oklahoma","Priv. Manufacturing",345,154982,39058,44397,25.2,28.6,1983
92,"Oregon","Private",1755,800623,131228,145305,16.4,18.2,1983
92,"Oregon","Public",450,198054,91650,116583,46.3,58.9,1983
92,"Oregon","Priv. Construction",60,26402,8651,9264,32.8,35.1,1983
92,"Oregon","Priv. Manufacturing",471,207037,59434,61348,28.7,29.6,1983
23,"Pennsylvania","Private",5696,3683184,854975,943728,23.2,25.6,1983
23,"Pennsylvania","Public",1041,662942,340711,406259,51.4,61.3,1983
23,"Pennsylvania","Priv. Construction",266,177141,63702,68216,36,38.5,1983
23,"Pennsylvania","Priv. Manufacturing",1675,1077927,455564,484596,42.3,45,1983
15,"Rhode Island","Private",1618,342535,46857,51835,13.7,15.1,1983
15,"Rhode Island","Public",271,57186,38944,41914,68.1,73.3,1983
15,"Rhode Island","Priv. Construction",62,13310,4276,4276,32.1,32.1,1983
15,"Rhode Island","Priv. Manufacturing",583,122827,20701,22497,16.9,18.3,1983
57,"South Carolina","Private",1590,950463,37403,55194,3.9,5.8,1983
57,"South Carolina","Public",387,224730,32163,45391,14.3,20.2,1983
57,"South Carolina","Priv. Construction",135,83656,4197,4197,5,5,1983
57,"South Carolina","Priv. Manufacturing",514,295940,16291,21750,5.5,7.3,1983
45,"South Dakota","Private",1801,177677,14283,16017,8,9,1983
45,"South Dakota","Public",636,55494,12534,18745,22.6,33.8,1983
45,"South Dakota","Priv. Construction",71,7380,518,518,7,7,1983
45,"South Dakota","Priv. Manufacturing",261,27246,5182,5474,19,20.1,1983
62,"Tennessee","Private",1999,1385190,172429,203010,12.4,14.7,1983
62,"Tennessee","Public",407,282963,79928,97939,28.2,34.6,1983
62,"Tennessee","Priv. Construction",109,78087,12899,13585,16.5,17.4,1983
62,"Tennessee","Priv. Manufacturing",715,507422,108476,124957,21.4,24.6,1983
74,"Texas","Private",7357,5086767,411971,479521,8.1,9.4,1983
74,"Texas","Public",1395,923703,171744,233297,18.6,25.3,1983
74,"Texas","Priv. Construction",712,492137,65173,72174,13.2,14.7,1983
74,"Texas","Priv. Manufacturing",1402,957548,153702,177463,16.1,18.5,1983
87,"Utah","Private",2054,423874,47921,55614,11.3,13.1,1983
87,"Utah","Public",555,111189,33648,45276,30.3,40.7,1983
87,"Utah","Priv. Construction",166,34788,9257,10095,26.6,29,1983
87,"Utah","Priv. Manufacturing",383,79553,11874,13455,14.9,16.9,1983
13,"Vermont","Private",1573,175011,11804,14567,6.7,8.3,1983
13,"Vermont","Public",300,30987,14071,16917,45.4,54.6,1983
13,"Vermont","Priv. Construction",112,12369,779,1007,6.3,8.1,1983
13,"Vermont","Priv. Manufacturing",411,44683,6030,6870,13.5,15.4,1983
54,"Virginia","Private",2737,1742476,177250,220749,10.2,12.7,1983
54,"Virginia","Public",891,548527,91057,125338,16.6,22.9,1983
54,"Virginia","Priv. Construction",197,128845,8613,12995,6.7,10.1,1983
54,"Virginia","Priv. Manufacturing",675,437315,92538,119771,21.2,27.4,1983
91,"Washington","Private",1989,1243087,273021,311143,22,25.1,1983
91,"Washington","Public",491,306305,146872,188598,47.9,61.6,1983
91,"Washington","Priv. Construction",123,76810,23592,26018,30.7,33.9,1983
91,"Washington","Priv. Manufacturing",453,279274,99157,112796,35.5,40.5,1983
55,"West Virginia","Private",1387,452305,118152,126660,26.1,28,1983
55,"West Virginia","Public",342,111648,24551,33984,22,30.6,1983
55,"West Virginia","Priv. Construction",74,24047,8543,9142,35.5,38,1983
55,"West Virginia","Priv. Manufacturing",301,99876,41260,45465,41.3,45.5,1983
35,"Wisconsin","Private",2561,1639362,324392,355888,19.8,21.7,1983
35,"Wisconsin","Public",505,316473,141075,170797,44.6,54,1983
35,"Wisconsin","Priv. Construction",109,68746,29182,30110,42.4,43.8,1983
35,"Wisconsin","Priv. Manufacturing",850,546595,197032,212942,36,39,1983
83,"Wyoming","Private",1296,144357,15050,18090,10.4,12.5,1983
83,"Wyoming","Public",435,51194,12092,13673,23.6,26.7,1983
83,"Wyoming","Priv. Construction",110,12202,1439,1648,11.8,13.5,1983
83,"Wyoming","Priv. Manufacturing",77,8325,1216,1415,14.6,17,1983
63,"Alabama","Private",1987,1134760,155364,171258,13.7,15.1,1984
63,"Alabama","Public",443,251963,52270,76588,20.7,30.4,1984
63,"Alabama","Priv. Construction",116,66154,10382,10382,15.7,15.7,1984
63,"Alabama","Priv. Manufacturing",641,367141,94988,102551,25.9,27.9,1984
94,"Alaska","Private",1807,127556,22146,24943,17.4,19.6,1984
94,"Alaska","Public",788,55708,22149,26215,39.8,47.1,1984
94,"Alaska","Priv. Construction",208,14359,5531,6281,38.5,43.7,1984
94,"Alaska","Priv. Manufacturing",127,8744,1627,1706,18.6,19.5,1984
86,"Arizona","Private",1757,989053,70748,89350,7.2,9,1984
86,"Arizona","Public",350,177767,35372,50641,19.9,28.5,1984
86,"Arizona","Priv. Construction",165,94105,14502,16326,15.4,17.3,1984
86,"Arizona","Priv. Manufacturing",304,169643,13100,14464,7.7,8.5,1984
71,"Arkansas","Private",1649,668012,60565,71182,9.1,10.7,1984
71,"Arkansas","Public",324,126195,15443,24243,12.2,19.2,1984
71,"Arkansas","Priv. Construction",94,36283,4330,5182,11.9,14.3,1984
71,"Arkansas","Priv. Manufacturing",471,191842,33730,40058,17.6,20.9,1984
93,"California","Private",12911,8516501,1429745,1596689,16.8,18.7,1984
93,"California","Public",2431,1609788,723616,916103,45,56.9,1984
93,"California","Priv. Construction",677,454750,152193,158553,33.5,34.9,1984
93,"California","Priv. Manufacturing",3320,2155441,430661,471807,20,21.9,1984
84,"Colorado","Private",2499,1136707,112178,123674,9.9,10.9,1984
84,"Colorado","Public",567,253092,68193,79691,26.9,31.5,1984
84,"Colorado","Priv. Construction",194,95365,17308,18588,18.1,19.5,1984
84,"Colorado","Priv. Manufacturing",424,196755,24808,28948,12.6,14.7,1984
16,"Connecticut","Private",2048,1255043,170423,193085,13.6,15.4,1984
16,"Connecticut","Public",319,188640,123344,127216,65.4,67.4,1984
16,"Connecticut","Priv. Construction",91,56093,16098,16098,28.7,28.7,1984
16,"Connecticut","Priv. Manufacturing",683,416937,78336,90255,18.8,21.6,1984
51,"Delaware","Private",1695,223436,30132,32161,13.5,14.4,1984
51,"Delaware","Public",310,40588,16481,18945,40.6,46.7,1984
51,"Delaware","Priv. Construction",119,15217,2829,3079,18.6,20.2,1984
51,"Delaware","Priv. Manufacturing",464,63420,15922,16806,25.1,26.5,1984
53,"D.C.","Private",1089,169796,24581,29845,14.5,17.6,1984
53,"D.C.","Public",671,100079,22503,30223,22.5,30.2,1984
53,"D.C.","Priv. Construction",46,6902,3312,3312,48,48,1984
53,"D.C.","Priv. Manufacturing",62,9792,2435,2848,24.9,29.1,1984
59,"Florida","Private",4742,3438385,204560,255249,5.9,7.4,1984
59,"Florida","Public",923,672627,179210,268188,26.6,39.9,1984
59,"Florida","Priv. Construction",392,297338,29700,31079,10,10.5,1984
59,"Florida","Priv. Manufacturing",727,515956,53936,66800,10.5,12.9,1984
58,"Georgia","Private",2799,1958874,190472,219029,9.7,11.2,1984
58,"Georgia","Public",554,377636,47540,77195,12.6,20.4,1984
58,"Georgia","Priv. Construction",195,142256,19590,20460,13.8,14.4,1984
58,"Georgia","Priv. Manufacturing",815,553770,87252,97075,15.8,17.5,1984
95,"Hawaii","Private",1478,295771,63050,68947,21.3,23.3,1984
95,"Hawaii","Public",482,96248,51462,57559,53.5,59.8,1984
95,"Hawaii","Priv. Construction",88,16664,10223,10732,61.3,64.4,1984
95,"Hawaii","Priv. Manufacturing",109,22148,7508,8270,33.9,37.3,1984
82,"Idaho","Private",1685,282379,21077,25975,7.5,9.2,1984
82,"Idaho","Public",416,67762,10563,14003,15.6,20.7,1984
82,"Idaho","Priv. Construction",105,17314,2845,3277,16.4,18.9,1984
82,"Idaho","Priv. Manufacturing",299,50221,8695,9549,17.3,19,1984
33,"Illinois","Private",5686,3830268,761856,816832,19.9,21.3,1984
33,"Illinois","Public",1041,706441,254996,309079,36.1,43.8,1984
33,"Illinois","Priv. Construction",245,166472,83958,85182,50.4,51.2,1984
33,"Illinois","Priv. Manufacturing",1664,1117179,329182,354799,29.5,31.8,1984
32,"Indiana","Private",2888,1839437,443435,469250,24.1,25.5,1984
32,"Indiana","Public",499,308671,96101,116593,31.1,37.8,1984
32,"Indiana","Priv. Construction",126,85374,31418,31418,36.8,36.8,1984
32,"Indiana","Priv. Manufacturing",1080,676416,314190,331488,46.4,49,1984
42,"Iowa","Private",1988,838947,123369,139915,14.7,16.7,1984
42,"Iowa","Public",530,223000,57812,75237,25.9,33.7,1984
42,"Iowa","Priv. Construction",75,32384,5516,5516,17,17,1984
42,"Iowa","Priv. Manufacturing",526,219624,83605,92529,38.1,42.1,1984
47,"Kansas","Private",1837,778663,81236,101195,10.4,13,1984
47,"Kansas","Public",435,170730,29301,49018,17.2,28.7,1984
47,"Kansas","Priv. Construction",111,46428,7635,8252,16.4,17.8,1984
47,"Kansas","Priv. Manufacturing",434,192880,38792,47675,20.1,24.7,1984
61,"Kentucky","Private",1824,1104405,189070,203087,17.1,18.4,1984
61,"Kentucky","Public",388,236533,36080,52308,15.3,22.1,1984
61,"Kentucky","Priv. Construction",79,46329,11469,12094,24.8,26.1,1984
61,"Kentucky","Priv. Manufacturing",518,317095,103107,107963,32.5,34,1984
72,"Louisiana","Private",1726,1203441,106295,122197,8.8,10.2,1984
72,"Louisiana","Public",482,323324,60141,82869,18.6,25.7,1984
72,"Louisiana","Priv. Construction",199,138874,20698,24324,14.9,17.5,1984
72,"Louisiana","Priv. Manufacturing",248,170701,39387,42037,23.1,24.6,1984
11,"Maine","Private",1781,358568,47129,53693,13.1,15,1984
11,"Maine","Public",416,84449,37395,49308,44.3,58.4,1984
11,"Maine","Priv. Construction",93,20170,2208,2208,10.9,10.9,1984
11,"Maine","Priv. Manufacturing",635,124522,32233,34377,25.9,27.6,1984
52,"Maryland","Private",2452,1398999,190226,217053,13.6,15.5,1984
52,"Maryland","Public",910,514925,160684,204842,31.2,39.8,1984
52,"Maryland","Priv. Construction",163,94837,18437,18970,19.4,20,1984
52,"Maryland","Priv. Manufacturing",389,221255,62628,64694,28.3,29.2,1984
14,"Massachusetts","Private",4761,2216259,333792,365213,15.1,16.5,1984
14,"Massachusetts","Public",819,392750,222067,244964,56.5,62.4,1984
14,"Massachusetts","Priv. Construction",214,98990,30426,30426,30.7,30.7,1984
14,"Massachusetts","Priv. Manufacturing",1524,715254,161052,173374,22.5,24.2,1984
34,"Michigan","Private",5115,2939756,738109,795310,25.1,27.1,1984
34,"Michigan","Public",878,507982,266142,290651,52.4,57.2,1984
34,"Michigan","Priv. Construction",194,110178,35808,36434,32.5,33.1,1984
34,"Michigan","Priv. Manufacturing",1837,1057556,480702,513385,45.5,48.5,1984
41,"Minnesota","Private",2887,1471266,257729,278876,17.5,19,1984
41,"Minnesota","Public",632,306248,148822,174911,48.6,57.2,1984
41,"Minnesota","Priv. Construction",141,69292,29747,30198,42.9,43.6,1984
41,"Minnesota","Priv. Manufacturing",711,348571,81055,87582,23.3,25.1,1984
64,"Mississippi","Private",1615,661318,58544,65032,8.9,9.8,1984
64,"Mississippi","Public",399,161880,20478,25023,12.6,15.5,1984
64,"Mississippi","Priv. Construction",113,45880,6769,6769,14.8,14.8,1984
64,"Mississippi","Priv. Manufacturing",515,213240,35044,38849,16.4,18.2,1984
43,"Missouri","Private",2537,1579567,314428,334242,19.9,21.2,1984
43,"Missouri","Public",500,308727,59090,87236,19.1,28.3,1984
43,"Missouri","Priv. Construction",138,87384,39121,39121,44.8,44.8,1984
43,"Missouri","Priv. Manufacturing",687,418985,136052,145883,32.5,34.8,1984
81,"Montana","Private",1631,219740,29816,32267,13.6,14.7,1984
81,"Montana","Public",495,62018,20941,24060,33.8,38.8,1984
81,"Montana","Priv. Construction",94,14220,2486,2486,17.5,17.5,1984
81,"Montana","Priv. Manufacturing",181,22292,6699,6699,30.1,30.1,1984
46,"Nebraska","Private",1762,485353,54659,64330,11.3,13.3,1984
46,"Nebraska","Public",439,120388,27695,38692,23,32.1,1984
46,"Nebraska","Priv. Construction",97,27105,5169,5169,19.1,19.1,1984
46,"Nebraska","Priv. Manufacturing",329,90783,18830,23437,20.7,25.8,1984
88,"Nevada","Private",1703,356337,75533,83852,21.2,23.5,1984
88,"Nevada","Public",305,64102,23299,30238,36.3,47.2,1984
88,"Nevada","Priv. Construction",122,27517,10736,10970,39,39.9,1984
88,"Nevada","Priv. Manufacturing",98,21151,3744,4582,17.7,21.7,1984
12,"New Hampshire","Private",1674,388270,28278,32026,7.3,8.2,1984
12,"New Hampshire","Public",246,55953,17646,23178,31.5,41.4,1984
12,"New Hampshire","Priv. Construction",101,22041,4259,4956,19.3,22.5,1984
12,"New Hampshire","Priv. Manufacturing",616,144567,13358,15143,9.2,10.5,1984
22,"New Jersey","Private",4884,2725106,513075,567726,18.8,20.8,1984
22,"New Jersey","Public",960,537023,297953,335809,55.5,62.5,1984
22,"New Jersey","Priv. Construction",222,123809,37707,41466,30.5,33.5,1984
22,"New Jersey","Priv. Manufacturing",1404,779967,221939,240875,28.5,30.9,1984
85,"New Mexico","Private",1403,338922,27799,33935,8.2,10,1984
85,"New Mexico","Public",613,147033,18850,32986,12.8,22.4,1984
85,"New Mexico","Priv. Construction",128,30933,2569,3217,8.3,10.4,1984
85,"New Mexico","Priv. Manufacturing",156,38490,5342,6264,13.9,16.3,1984
21,"New York","Private",8525,5420914,1281660,1430791,23.6,26.4,1984
21,"New York","Public",2064,1327014,888368,974661,66.9,73.5,1984
21,"New York","Priv. Construction",385,246057,113256,119768,46,48.7,1984
21,"New York","Priv. Manufacturing",2052,1321788,396607,431791,30,32.7,1984
56,"North Carolina","Private",3244,2104730,100372,118224,4.8,5.6,1984
56,"North Carolina","Public",634,416722,84778,110399,20.3,26.5,1984
56,"North Carolina","Priv. Construction",198,131424,799,799,0.6,0.6,1984
56,"North Carolina","Priv. Manufacturing",1310,873037,57853,65703,6.6,7.5,1984
44,"North Dakota","Private",1610,175378,13972,16881,8,9.6,1984
44,"North Dakota","Public",501,53215,14269,19470,26.8,36.6,1984
44,"North Dakota","Priv. Construction",92,10130,2376,2466,23.5,24.3,1984
44,"North Dakota","Priv. Manufacturing",146,15336,2500,3979,16.3,25.9,1984
31,"Ohio","Private",6051,3586051,753451,804474,21,22.4,1984
31,"Ohio","Public",1012,597565,239333,289209,40.1,48.4,1984
31,"Ohio","Priv. Construction",223,135434,42211,42747,31.2,31.6,1984
31,"Ohio","Priv. Manufacturing",2044,1207886,460202,487465,38.1,40.4,1984
73,"Oklahoma","Private",2065,992913,84557,96840,8.5,9.8,1984
73,"Oklahoma","Public",454,220755,39451,53170,17.9,24.1,1984
73,"Oklahoma","Priv. Construction",121,56072,7454,7971,13.3,14.2,1984
73,"Oklahoma","Priv. Manufacturing",399,180251,44977,50739,25,28.1,1984
92,"Oregon","Private",1712,792594,148203,165351,18.7,20.9,1984
92,"Oregon","Public",433,190229,93014,109082,48.9,57.3,1984
92,"Oregon","Priv. Construction",57,24696,6811,7181,27.6,29.1,1984
92,"Oregon","Priv. Manufacturing",481,216572,64108,68489,29.6,31.6,1984
23,"Pennsylvania","Private",6021,3923247,829488,887064,21.1,22.6,1984
23,"Pennsylvania","Public",927,595775,293524,349821,49.3,58.7,1984
23,"Pennsylvania","Priv. Construction",291,194519,58487,62827,30.1,32.3,1984
23,"Pennsylvania","Priv. Manufacturing",1843,1202559,454954,475339,37.8,39.5,1984
15,"Rhode Island","Private",1620,355531,49353,54207,13.9,15.2,1984
15,"Rhode Island","Public",286,62648,44530,48108,71.1,76.8,1984
15,"Rhode Island","Priv. Construction",59,12735,3762,3762,29.5,29.5,1984
15,"Rhode Island","Priv. Manufacturing",610,136407,23928,27011,17.5,19.8,1984
57,"South Carolina","Private",1621,1023372,35363,46978,3.5,4.6,1984
57,"South Carolina","Public",374,228715,16458,20284,7.2,8.9,1984
57,"South Carolina","Priv. Construction",147,96832,2164,4418,2.2,4.6,1984
57,"South Carolina","Priv. Manufacturing",519,312878,19988,25767,6.4,8.2,1984
45,"South Dakota","Private",1883,189681,13669,16201,7.2,8.5,1984
45,"South Dakota","Public",639,61216,13225,19015,21.6,31.1,1984
45,"South Dakota","Priv. Construction",102,10162,1079,1173,10.6,11.5,1984
45,"South Dakota","Priv. Manufacturing",309,32190,5349,6395,16.6,19.9,1984
62,"Tennessee","Private",1957,1471199,163496,194253,11.1,13.2,1984
62,"Tennessee","Public",395,299879,72925,104993,24.3,35,1984
62,"Tennessee","Priv. Construction",116,90877,14825,16781,16.3,18.5,1984
62,"Tennessee","Priv. Manufacturing",685,523918,98908,115556,18.9,22.1,1984
74,"Texas","Private",7429,5382932,331402,400551,6.2,7.4,1984
74,"Texas","Public",1424,1004732,168413,238451,16.8,23.7,1984
74,"Texas","Priv. Construction",731,528607,57466,62252,10.9,11.8,1984
